IPN,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Thickness (Max)
CAP-MUR-GRN-0805-00001,490-6445-1-ND,GRM2165C2A102JA01D,Murata Electronics,CAP CER 1000PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1000pF,1000pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00002,490-13368-1-ND,GRM2165C2A182JA01D,Murata Electronics,CAP CER 1800PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1800pF,1800pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00003,490-12745-1-ND,GRM2165C2A162JA01D,Murata Electronics,CAP CER 1600PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1600pF,1600pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00004,490-8290-1-ND,GRM2165C2A132JA01D,Murata Electronics,CAP CER 1300PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1300pF,1300pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00005,490-11552-1-ND,GRM2165C2A152JA01D,Murata Electronics,CAP CER 1500PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1500pF,1500pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00006,490-14381-1-ND,GRM21BR71A106KA73K,Murata Electronics,CAP CER 10UF 10V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,10.00%,10V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00007,490-1630-1-ND,GRM2165C1H272JA01D,Murata Electronics,CAP CER 2700PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2700pF,2700pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00008,490-6448-1-ND,GRM2165C2A222JA01D,Murata Electronics,CAP CER 2200PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2200pF,2200pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00009,490-6447-1-ND,GRM2165C2A202JA01D,Murata Electronics,CAP CER 2000PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2000pF,2000pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00010,490-14466-1-ND,GRM21BR71C475KE51L,Murata Electronics,CAP CER 4.7UF 16V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,10.00%,16V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00011,490-1632-1-ND,GRM2165C1H332JA01D,Murata Electronics,CAP CER 3300PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3300pF,3300pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00012,490-1631-1-ND,GRM2165C1H302JA01D,Murata Electronics,CAP CER 3000PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3000pF,3000pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00013,490-10516-1-ND,GRM21BR71A106KA73L,Murata Electronics,CAP CER 10UF 10V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,10.00%,10V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00014,490-10517-1-ND,GRM21BR71A106MA73L,Murata Electronics,CAP CER 10UF 10V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,20.00%,10V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00015,490-3045-1-ND,GRM2165C1H392JA01D,Murata Electronics,CAP CER 3900PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3900pF,3900pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00016,490-3044-1-ND,GRM2165C1H472JA01D,Murata Electronics,CAP CER 4700PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4700pF,4700pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00017,490-14467-1-ND,GRM21BR71E225KE11L,Murata Electronics,CAP CER 2.2UF 25V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2.2uF,2.2uF,10.00%,25V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00018,490-10495-1-ND,GRM219R7YA105MA12D,Murata Electronics,CAP CER 1UF 35V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1uF,1uF,20.00%,35V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00019,490-1634-1-ND,GRM2195C1H472JA01D,Murata Electronics,CAP CER 4700PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4700pF,4700pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00020,490-8291-1-ND,GRM2165C2A332JA01D,Murata Electronics,CAP CER 3300PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3300pF,3300pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00021,490-1636-1-ND,GRM2195C1H562JA01D,Murata Electronics,CAP CER 5600PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,5600pF,5600pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00022,490-1635-1-ND,GRM2195C1H512JA01D,Murata Electronics,CAP CER 5100PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,5100pF,5100pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00023,490-12753-1-ND,GRM219R61E475KA73D,Murata Electronics,CAP CER 4.7UF 25V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,10.00%,25V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00024,490-10494-1-ND,GRM219R7YA105KA12D,Murata Electronics,CAP CER 1UF 35V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1uF,1uF,10.00%,35V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00025,490-7208-1-ND,GRM219R6YA475KA73D,Murata Electronics,CAP CER 4.7UF 35V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,10.00%,35V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00026,490-9671-1-ND,GRM219R6YA475MA73D,Murata Electronics,CAP CER 4.7UF 35V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,20.00%,35V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00027,490-10748-1-ND,GRM21BR61E106MA73L,Murata Electronics,CAP CER 10UF 25V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,20.00%,25V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00028,490-10499-1-ND,GRM21BC81C106ME15L,Murata Electronics,CAP CER 10UF 16V X6S 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,20.00%,16V,X6S,-55°C ~ 105°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00029,490-10498-1-ND,GRM21BC81C106KE15L,Murata Electronics,CAP CER 10UF 16V X6S 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,10.00%,16V,X6S,-55°C ~ 105°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00030,490-6473-1-ND,GRM21BR61C106KE15K,Murata Electronics,CAP CER 10UF 16V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,10.00%,16V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00031,490-3325-1-ND,GRM21BR72A473KA01L,Murata Electronics,CAP CER 0.047UF 100V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.047uF,0.047uF,10.00%,100V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00032,490-1638-1-ND,GRM2195C1H682JA01D,Murata Electronics,CAP CER 6800PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,6800pF,6800pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00033,490-14649-1-ND,GRM21A5C2D100JW01D,Murata Electronics,CAP CER 10PF 200V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10pF,10pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00034,490-14653-1-ND,GRM21A5C2D470JW01D,Murata Electronics,CAP CER 47PF 200V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,47pF,47pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00035,490-14654-1-ND,GRM21A5C2E331JW01D,Murata Electronics,CAP CER 330PF 250V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,330pF,330pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00036,490-13371-1-ND,GRM21A5C2E221JW01D,Murata Electronics,CAP CER 220PF 250V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,220pF,220pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00037,490-14652-1-ND,GRM21A5C2D390JW01D,Murata Electronics,CAP CER 39PF 200V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,39pF,39pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00038,490-16815-1-ND,GRM21A5C2D101JW01D,Murata Electronics,CAP CER 100PF 200V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,100pF,100pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00039,490-16817-1-ND,GRM21A5C2D271JW01D,Murata Electronics,CAP CER 270PF 200V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,270pF,270pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00040,490-16819-1-ND,GRM21A5C2E271JW01D,Murata Electronics,CAP CER 270PF 250V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,270pF,270pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00041,490-17850-1-ND,GRM21A5C2D150JW01D,Murata Electronics,CAP CER 15PF 200V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,15pF,15pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00042,490-1637-1-ND,GRM2195C1H622JA01D,Murata Electronics,CAP CER 6200PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,6200pF,6200pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00043,490-5535-1-ND,GRM21A5C2E270JW01D,Murata Electronics,CAP CER 27PF 250V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,27pF,27pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
