IPN,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Thickness (Max)
CAP-MUR-GRN-0805-00132,490-1629-1-ND,GRM2165C1H242JA01D,Murata Electronics,CAP CER 2400PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2400pF,2400pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00133,490-3319-1-ND,GRM2165C1H432JA01D,Murata Electronics,CAP CER 4300PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4300pF,4300pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00134,490-3318-1-ND,GRM2165C1H362JA01D,Murata Electronics,CAP CER 3600PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3600pF,3600pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00135,490-13369-1-ND,GRM2165C2A272JA01D,Murata Electronics,CAP CER 2700PF 100V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2700pF,2700pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00136,490-14872-1-ND,GRM2165C2A242JA01D,Murata Electronics,CAP CER 2400PF 100V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2400pF,2400pF,5.00%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00137,490-12003-1-ND,GRM21A7U2E101JW31D,Murata Electronics,CAP CER 100PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,100pF,100pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00138,490-6457-1-ND,GRM21A7U2E121JW31D,Murata Electronics,CAP CER 120PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,120pF,120pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00139,490-6459-1-ND,GRM21A7U2E222JW31D,Murata Electronics,CAP CER 2200PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,2200pF,2200pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00140,490-17852-1-ND,GRM21A7U2E821JW31D,Murata Electronics,CAP CER 820PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,820pF,820pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00141,490-11589-1-ND,GRM21A7U2E331JW31D,Murata Electronics,CAP CER 330PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,330pF,330pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00142,490-13372-1-ND,GRM21A7U2E561JW31D,Murata Electronics,CAP CER 560PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,560pF,560pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00143,490-12751-1-ND,GRM2195C1H103JA01J,Murata Electronics,CAP CER 10000PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10000pF,10000pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00144,490-14650-1-ND,GRM21A5C2D220JW01D,Murata Electronics,CAP CER 22PF 200V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,22pF,22pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00145,490-16818-1-ND,GRM21A5C2D820JW01D,Murata Electronics,CAP CER 82PF 200V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,82pF,82pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00146,490-12755-1-ND,GRM21A5C2E151JW01D,Murata Electronics,CAP CER 150PF 250V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,150pF,150pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00147,490-16816-1-ND,GRM21A5C2D120JW01D,Murata Electronics,CAP CER 12PF 200V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,12pF,12pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00148,490-14651-1-ND,GRM21A5C2D330JW01D,Murata Electronics,CAP CER 33PF 200V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,33pF,33pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00149,490-13367-1-ND,GRM2165C1H332GA01D,Murata Electronics,CAP CER 3300PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3300pF,3300pF,2.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.028"" (0.70mm)"
CAP-MUR-GRN-0805-00150,490-5531-1-ND,GRM21A5C2E120JW01D,Murata Electronics,CAP CER 12PF 250V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,12pF,12pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00151,490-5539-1-ND,GRM21A5C2E560JW01D,Murata Electronics,CAP CER 56PF 250V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,56pF,56pF,5.00%,250V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00152,490-14655-1-ND,GRM21B7U2E392JW32L,Murata Electronics,CAP CER 3900PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,3900pF,3900pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00153,490-12004-1-ND,GRM21B7U2E472JW32L,Murata Electronics,CAP CER 4700PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4700pF,4700pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00154,490-1641-1-ND,GRM2195C1H912JA01D,Murata Electronics,CAP CER 9100PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,9100pF,9100pF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00155,490-14663-1-ND,GRM21BR61H475ME51L,Murata Electronics,CAP CER 4.7UF 50V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,20.00%,50V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
CAP-MUR-GRN-0805-00156,490-12752-1-ND,GRM2195C1H133JA01D,Murata Electronics,CAP CER 0.013UF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.013uF,0.013uF,5.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00157,490-16325-1-ND,GRM21BC81E106KE51K,Murata Electronics,CAP CER 10UF 25V X6S 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,10.00%,25V,X6S,-55°C ~ 105°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00158,490-14659-1-ND,GRM21BD70J226ME44L,Murata Electronics,CAP CER 22UF 6.3V X7T 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,22uF,22uF,20.00%,6.3V,X7T,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00159,490-8309-1-ND,GRM21B7U1H433JA01L,Murata Electronics,CAP CER 0.043UF 50V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.043uF,0.043uF,5.00%,50V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00160,490-9954-1-ND,GRM21BC80G476ME15L,Murata Electronics,CAP CER 47UF 4V X6S 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,47uF,47uF,20.00%,4V,X6S,-55°C ~ 105°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00161,490-14656-1-ND,GRM21BC71H475KE11K,Murata Electronics,CAP CER 4.7UF 50V X7S 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,10.00%,50V,X7S,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00162,490-12609-1-ND,GRM2195C1H822FA01D,Murata Electronics,CAP CER 8200PF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,8200pF,8200pF,1.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00163,490-11581-1-ND,GRM2195C1H153GA01D,Murata Electronics,CAP CER 0.015UF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.015uF,0.015uF,2.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00164,490-11580-1-ND,GRM2195C1H123GA01D,Murata Electronics,CAP CER 0.012UF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.012uF,0.012uF,2.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00165,490-11591-1-ND,GRM21B5C1H183FA01L,Murata Electronics,CAP CER 0.018UF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.018uF,0.018uF,1.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00166,490-14644-1-ND,GRM219R61E475MA73D,Murata Electronics,CAP CER 4.7UF 25V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,4.7uF,4.7uF,20.00%,25V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
CAP-MUR-GRN-0805-00167,490-17851-1-ND,GRM21A5C2D181JW01D,Murata Electronics,CAP CER 180PF 200V NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,180pF,180pF,5.00%,200V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)"
CAP-MUR-GRN-0805-00168,490-9958-1-ND,GRM21BC81E106ME11L,Murata Electronics,CAP CER 10UF 25V X6S 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,20.00%,25V,X6S,-55°C ~ 105°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00169,490-6463-1-ND,GRM21B7U1H473JA01L,Murata Electronics,CAP CER 0.047UF 50V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.047uF,0.047uF,5.00%,50V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00170,490-10747-1-ND,GRM21BR61C226ME44L,Murata Electronics,CAP CER 22UF 16V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,22uF,22uF,20.00%,16V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00171,490-17854-1-ND,GRM21B5C1H183GA01L,Murata Electronics,CAP CER 0.018UF 50V C0G/NP0 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,0.018uF,0.018uF,2.00%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.053"" (1.35mm)"
CAP-MUR-GRN-0805-00172,490-13980-1-ND,GRM21BR60G107ME11L,Murata Electronics,CAP CER 100UF 4V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,100uF,100uF,20.00%,4V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00173,490-11588-1-ND,GRM21A7U2E122JW31D,Murata Electronics,CAP CER 1200PF 250V U2J 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,1200pF,1200pF,5.00%,250V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
CAP-MUR-GRN-0805-00174,490-18663-1-ND,GRM21BR61H106KE43L,Murata Electronics,0805 (2012MM) X5R (EIA) 50VDC 10,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,10.00%,50V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00175,490-18664-1-ND,GRM21BR61H106ME43L,Murata Electronics,0805 (2012MM) X5R (EIA) 50VDC 10,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,10uF,10uF,20.00%,50V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
CAP-MUR-GRN-0805-00176,490-9961-1-ND,GRM21BR61A476ME15L,Murata Electronics,CAP CER 47UF 10V X5R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,GRM,47uF,47uF,20.00%,10V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)"
